ID	Especie	Código	Tipo muestra	Localidad	Año	LABORATORIO
65	Alsodes hugoi 	Ahugsl0424c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
66	Alsodes hugoi 	Ahugsl0524c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
67	Alsodes hugoi 	Ahugsl0624c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
68	Alsodes hugoi 	Ahugsl0724c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
69	Alsodes hugoi 	Ahugsl0924c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
70	Alsodes hugoi 	Ahugsl1024c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
71	Alsodes hugoi 	Ahugsl1124c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
72	Alsodes hugoi 	Ahugsl1224c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
73	Alsodes hugoi 	Ahugsl1424c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
74	Alsodes hugoi 	Ahugsl1524c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
75	Alsodes hugoi 	Ahugsl1624c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
76	Alsodes hugoi 	Ahugsl1824c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
77	Alsodes hugoi 	Ahugsl1924c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
78	Alsodes hugoi 	Ahugsl2024c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
79	Alsodes hugoi 	Ahugsl2124c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
80	Alsodes hugoi 	Ahugsl2224c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
81	Alsodes hugoi 	Ahugsl2324c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
82	Alsodes hugoi 	Ahugsl2424c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
83	Alsodes hugoi 	Ahugsl2524c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
84	Alsodes hugoi 	Ahugsl2724c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
85	Alsodes hugoi 	Ahugsl2824c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
86	Alsodes hugoi 	Ahugsl2924c	Tejido muscular aleta caudal	Shangri-La	2024	LAB ECO EVO UBB 
