file	call	POMC_score	Rhod1_score	action
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04 (2).ab1	Rhod1	36	44	none
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04.ab1	Rhod1	36	44	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04 (2).ab1	Rhod1	37	44	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04.ab1	Rhod1	37	44	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05 (2).ab1	undetermined	37	37	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05.ab1	undetermined	37	37	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05 (2).ab1	Rhod1	37	38	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05.ab1	Rhod1	37	38	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05 (2).ab1	Rhod1	36	42	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05.ab1	Rhod1	36	42	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05 (2).ab1	Rhod1	35	38	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05.ab1	Rhod1	35	38	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05 (2).ab1	POMC	39	40	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05.ab1	POMC	39	40	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05 (2).ab1	Rhod1	37	46	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05.ab1	Rhod1	37	46	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05 (2).ab1	Rhod1	36	42	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05.ab1	Rhod1	36	42	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05 (2).ab1	Rhod1	41	45	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05.ab1	Rhod1	41	45	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06 (2).ab1	Rhod1	37	40	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06.ab1	Rhod1	37	40	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06 (2).ab1	POMC	37	39	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06.ab1	POMC	37	39	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06 (2).ab1	Rhod1	38	40	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06.ab1	Rhod1	38	40	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06 (2).ab1	undetermined	35	35	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06.ab1	undetermined	35	35	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06 (2).ab1	Rhod1	37	43	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06.ab1	Rhod1	37	43	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06 (2).ab1	Rhod1	36	38	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06.ab1	Rhod1	36	38	none
28292-CRISTIAN-Ealt_9-Rhod-Rhod1A_2024-12-18-11-02-58_G06 (2).ab1	Rhod1	39	41	none
28292-CRISTIAN-Ealt_9-Rhod-Rhod1A_2024-12-18-11-02-58_G06.ab1	Rhod1	39	41	none
28293-CRISTIAN-Ealt_9-Rhod-Rhod1C_2024-12-18-11-02-58_H06 (2).ab1	Rhod1	31	36	none
