old_label	new_label
2024_83	83_Alsodes_hugoi_Ahugsl2524c_Shangri-La_2024
2024_84	84_Alsodes_hugoi_Ahugsl2724c_Shangri-La_2024
2024_85	85_Alsodes_hugoi_Ahugsl2824c_Shangri-La_2024
2024_86	86_Alsodes_hugoi_Ahugsl2924c_Shangri-La_2024
2025_1	1_Eupsophus_roseus_Erorloc03_Rio_Los_Cruces_2025
2025_2	2_Eupsophus_roseus_Erorloc04_Rio_Los_Cruces_2025
2025_3	3_Eupsophus_roseus_Erorloc01_Rio_Los_Cruces_2025
2025_4	4_Eupsophus_roseus_Eropuc01_Pucon_2025
2025_5	5_Eupsophus_vertebralis_Evercol02_Colegual_2025
2025_6	6_Eupsophus_vertebralis_Esp01_Colegual_2025
2025_7	7_Eupsophus_vertebralis_Evercol04_Colegual_2025
2025_8	8_Eupsophus_roseus_Eroarb08_Arboretum_2025
2025_9	9_Eupsophus_roseus_Eroarb09_Arboretum_2025
2025_10	10_Eupsophus_roseus_Eroarb01_Arboretum_2025
2025_11	11_Eupsophus_roseus_Eroarb06_Arboretum_2025
2025_12	12_Eupsophus_roseus_Eroarb04_Arboretum_2025
2025_13	13_Eupsophus_roseus_Eroarb07_Arboretum_2025
2025_14	14_Eupsophus_roseus_Eroarb05_Arboretum_2025
2025_15	15_Eupsophus_roseus_Eroarb11_Arboretum_2025
2025_16	16_Eupsophus_roseus_Eroarb10_Arboretum_2025
2025_17	17_Eupsophus_roseus_Eroarb02_Arboretum_2025
2025_18	18_Eupsophus_vertebralis_Evercol06_Colegual_2025
2025_19	19_Eupsophus_altor_Ealtale01_Alepue_2025
2025_20	20_Eupsophus_vertebralis_Evercol07_Colegual_2025
2025_21	21_Eupsophus_roseus_Erocol02_Colegual_2025
2025_22	22_Eupsophus_vertebralis_Everale01_Alepue_2025
2025_23	23_Eupsophus_roseus_Ercocol01_Colegual_2025
2025_24	24_Eupsophus_altor_Ealtale02_Alepue_2025
2025_25	25_Eupsophus_vertebralis_Everponco01_Parque_Oncol_2025
2025_26	26_Eupsophus_roseus_Eroponco01_Parque_Oncol_2025
2025_27	27_Eupsophus_roseus_Eroponco03_Parque_Oncol_2025
2025_28	28_Eupsophus_vertebralis_Evercol05_Colegual_2025
2025_29	29_Eupsophus_roseus_Eroponco08_Parque_Oncol_2025
2025_30	30_Eupsophus_roseus_Eroponco02_Parque_Oncol_2025
2025_31	31_Eupsophus_altor_Ealtpocon03_Parque_Oncol_2025
2025_32	32_Eupsophus_vertebralis_Everponco06_Parque_Oncol_2025
2025_33	33_Eupsophus_vertebralis_Everponco07_Parque_Oncol_2025
2025_34	34_Pleurodema_thaul_Pthansl01_Nuble_2025
2025_35	35_Pleurodema_thaul_Pthalau09_Lautaro_2025
2025_36	36_Pleurodema_thaul_Pthalau16_Lautaro_2025
2025_37	37_Pleurodema_thaul_Pthalau02_Lautaro_2025
2025_38	38_Pleurodema_thaul_Pthalau21_Lautaro_2025
2025_39	39_Pleurodema_thaul_Pthalau10_Lautaro_2025
2025_40	40_Pleurodema_thaul_Pthalau14_Lautaro_2025
2025_41	41_Eupsophus_roseus_Erorlc14_Rio_Los_Cruces_2025
2025_42	42_Eupsophus_roseus_Eroarb03_Arboretum_2025
2025_43	43_Eupsophus_migueli_Emigcol0516_Colegual_II_2025
2025_44	44_Eupsophus_migueli_Emigcol0416_Colegual_II_2025
2025_45	45_Eupsophus_migueli_Emigcol0216_Colegual_III_2025
2025_46	46_Eupsophus_migueli_Emigcol1316_Colegual_II_2025
2025_47	47_Eupsophus_migueli_Emigcol0416_Colegual_III_2025
2025_48	48_Eupsophus_migueli_Emigcol0616_Colegual_II_2025
2025_49	49_Eupsophus_migueli_Emigcol1416_Colegual_II_2025
2025_50	50_Eupsophus_insularis_Einsmo2216_Isla_Mocha_2025
2025_51	51_Eupsophus_insularis_Einsim2516_Isla_Mocha_2025
2025_52	52_Eupsophus_insularis_Einsim1616_Isla_Mocha_2025
2025_53	53_Eupsophus_insularis_Einsim1516_Isla_Mocha_2025
2025_54	54_Eupsophus_insularis_Einsim2616_Isla_Mocha_2025
2025_55	55_Eupsophus_insularis_Einsim1416_Isla_Mocha_2025
2025_56	56_Eupsophus_altor_Ealtcha1616_Chanchan_2025
2025_57	57_Eupsophus_altor_Ealtcha1516_Chanchan_2025
2025_58	58_Eupsophus_altor_Ealtcha1216_Chanchan_2025
2025_59	59_Eupsophus_altor_Ealtcha1716_Chanchan_2025
2025_60	60_Eupsophus_altor_Ealtcha1816_Chanchan_2025
2025_61	61_Eupsophus_altor_Ealtcha1416_Chanchan_2025
2025_62	62_Eupsophus_altor_Ealtcha1316_Chanchan_2025
2025_63	63_Eupsophus_altor_Ealtcha1916_Chanchan_2025
2025_64	64_Eupsophus_roseus_Eropuc03_Pucon_2025
