group	species	n_taxa	taxa
Eupsophus_only	E. altor	3	2024_19__Alepue, 2024_24__Alepue, 2024_31__Parque Oncol
Eupsophus_only	E. roseus	20	2024_10__Arboretum, 2024_11__Arboretum, 2024_12__Arboretum, 2024_13__Arboretum, 2024_14__Arboretum, 2024_1__Río Los Cruces, 2024_21__Colegual, 2024_23__Colegual, 2024_26__Parque Oncol, 2024_27__Parque Oncol, 2024_29__Parque Oncol, 2024_2__Río Los Cruces, 2024_30__Parque Oncol, 2024_3__Río Los Cruces, 2024_41__Río Los Cruces, 2024_42__Arboretum, 2024_4__Pucón, 2024_64__Pucón, 2024_8__Arboretum, 2024_9__Arboretum
Eupsophus_only	E. vertebralis	10	2024_18__Colegual, 2024_20__Colegual, 2024_22__Alepue, 2024_25__Parque Oncol, 2024_28__Colegual, 2024_32__Parque Oncol, 2024_33__Parque Oncol, 2024_5__Colegual, 2024_6__Colegual, 2024_7__Colegual
